Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
mega-construx-pokemon-buildable-figures-gift-set,Mega Construx Pokemon Buildable Figures Gift Set,"Build the power that inside! The path to becoming a Pokemon trainer starts when you discover your favorite Pokemon with this set of six buildable figures, including some of the most popular characters from the animated series. Then get ready to battle with the best of them!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY500,0.0,shopify,4,deny,manual,33.55,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/d8f3761140d81eca0b590b5613bb866d.jpg?v=1676441645,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-rowlet-vs-eevee,Mega Construx Pokemon Rowlet vs. Eevee,"Create action-packed battles with your favorite Pokemon! Choose your Pokemon and battle to become the best! It's Eevee against Rowlet in this dynamic showdown between two of the most popular Pokemon to be found in the Alola Region! Build your Pokemon, and set the scene for a battle in the forest.",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY499,0.0,shopify,1,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/c69f7acd5dfb620db902f5cb76f71187.jpg?v=1676441643,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
limited-edition-sdcc-2018-gengarvmega-construx-pokemon,Limited Edition SDCC 2018 GengarvMega Construx Pokemon,"This limited-edition special figure for San Diego Comic-Con 2018, moves fan-favorite Pokemon Gengar out of the shadows and straight to center stage!",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY498,0.0,shopify,1,deny,manual,40.00,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/e0f1eb94e8db2ce5d7d3592d64dcec32.jpg?v=1676441641,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-buildable-figures-and-environments-gift-set,Mega Construx Pokemon Buildable Figures and Environments Gift Set,"Pokemon trainers can practice their attacks with three Pokemon characters and themed environments. Get fired up for battle by building Charmeleon, complete with flaming tail, and unleash a fire-type attack with the raging red-and-orange environment with battle effect details.",POKEMON,,TOYS,"egnition-sample-data, on-sale, pokemon, toys",true,Title,Default Title,,,,,TOY497,0.0,shopify,12,deny,manual,23.98,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3bebd434f6347a0598d683a2bbe72f3c.jpg?v=1676441639,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-squirtle-vs-charmander,Mega Construx Pokemon Squirtle vs. Charmander,Create classic battles with your favorite Pokemon! Choose your Pokemon and battle to become the very best! It's Squirtle against Charmander in this match-up between two of the most popular Pokemon of all time!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY496,0.0,shopify,14,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3a2ef311ca65d3fbfa759dc01f2a3118.jpg?v=1676441637,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-pikachu-vs-bulbasaur,Mega Construx Pokemon Pikachu vs. Bulbasaur,"Create classic battles with your favorite Pokemon! Choose your Pokemon and battle to become the best! It's Pikachu against Bulbasaur in this showdown between two of the most popular Pokemon of all time! Build your Pokemon, and set the scene for battle.",POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY495,0.0,shopify,6,deny,manual,14.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/8a1d0a12c609379896718cadcf294f02.jpg?v=1676441635,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-blastoise,Mega Construx Pokemon Blastoise,Bring your best shot to the battle with a buildable Blastoise! Fast accurate and powerful now you can unleash a torrent of Water-type moves when you build your own battle-ready Blastoise!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY494,0.0,shopify,12,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/948fd0a7b98e56cbccbc86171bb4f8c5.jpg?v=1676441633,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-grubbin,Mega Construx Pokemon Grubbin,Grubbin goes jaw-first into battle with this buildable Pokemon figure!Continue your journey to become a Pokemon Trainer!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY493,0.0,shopify,6,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/3187cc46c2aa67aac80733e3b5dcec77.jpg?v=1676441631,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-crabrawler,Mega Construx Pokemon Crabrawler,Crabrawler claws its way into battle with this buildable Pokemon figure! Continue your journey to become a Pokemon Trainer!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY492,0.0,shopify,12,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/91d2cae6da43e3f864a6af1b23d01333.jpg?v=1676441629,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
mega-construx-pokemon-fomantis,Mega Construx Pokemon Fomantis,Fomantis battles by night with this buildable Pokemon figure! Continue your journey to become a Pokemon Trainer!,POKEMON,,TOYS,"egnition-sample-data, pokemon, toys",true,Title,Default Title,,,,,TOY491,0.0,shopify,1,deny,manual,6.99,,true,true,,https://cdn.shopify.com/s/files/1/0719/4732/1661/products/203778bfd490ba40b8254378f189788b.jpg?v=1676441627,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
